Date,España,Colombia
2021-06-23 00:00:00+00:00,3773032,4027016
2021-06-24 00:00:00+00:00,3777539,4060013
2021-06-25 00:00:00+00:00,3782463,4092746
2021-06-26 00:00:00+00:00,3782463,4126340
2021-06-27 00:00:00+00:00,3782463,4158716
2021-06-28 00:00:00+00:00,3792642,4187194
2021-06-29 00:00:00+00:00,3799733,4213074
2021-06-30 00:00:00+00:00,3808960,4240982
2021-07-01 00:00:00+00:00,3821305,4269297
2021-07-02 00:00:00+00:00,3833868,4297302
2021-07-03 00:00:00+00:00,3833868,4324230
2021-07-04 00:00:00+00:00,3833868,4350495
2021-07-05 00:00:00+00:00,3866475,4375861
2021-07-06 00:00:00+00:00,3880612,4402582
2021-07-07 00:00:00+00:00,3897996,4426811
2021-07-08 00:00:00+00:00,3915313,4450086
2021-07-09 00:00:00+00:00,3937192,4471622
2021-07-10 00:00:00+00:00,3937192,4492537
2021-07-11 00:00:00+00:00,3937192,4511960
2021-07-12 00:00:00+00:00,3971124,4530610
2021-07-13 00:00:00+00:00,4015084,4548142
2021-07-14 00:00:00+00:00,4041474,4565372
2021-07-15 00:00:00+00:00,4069162,4583442
2021-07-16 00:00:00+00:00,4100222,4601335
2021-07-17 00:00:00+00:00,4100222,4621260
2021-07-18 00:00:00+00:00,4100222,4639466
2021-07-19 00:00:00+00:00,4161850,4655921
2021-07-20 00:00:00+00:00,4189136,4668750
2021-07-21 00:00:00+00:00,4219723,4679994
2021-07-22 00:00:00+00:00,4249258,4692570
2021-07-23 00:00:00+00:00,4280429,4705734
2021-07-24 00:00:00+00:00,4280429,4716798
2021-07-25 00:00:00+00:00,4280429,4727846
2021-07-26 00:00:00+00:00,4342054,4736349
2021-07-27 00:00:00+00:00,4368453,4747775
2021-07-28 00:00:00+00:00,4395602,4757139
2021-07-29 00:00:00+00:00,4422291,4766829
2021-07-30 00:00:00+00:00,4447044,4776291
2021-07-31 00:00:00+00:00,4447044,4785320
2021-08-01 00:00:00+00:00,4447044,4794414
2021-08-02 00:00:00+00:00,4502983,4801050
2021-08-03 00:00:00+00:00,4523310,4807979
2021-08-04 00:00:00+00:00,4545184,4815063
2021-08-05 00:00:00+00:00,4566571,4821603
2021-08-06 00:00:00+00:00,4588132,4828583
2021-08-07 00:00:00+00:00,4588132,4834634
2021-08-08 00:00:00+00:00,4588132,4838984
2021-08-09 00:00:00+00:00,4627770,4843007
2021-08-10 00:00:00+00:00,4643450,4846955
2021-08-11 00:00:00+00:00,4660473,4852323
2021-08-12 00:00:00+00:00,4677883,4856595
2021-08-13 00:00:00+00:00,4693540,4860622
2021-08-14 00:00:00+00:00,4693540,4864629
2021-08-15 00:00:00+00:00,4693540,4867761
2021-08-16 00:00:00+00:00,4719266,4870922
2021-08-17 00:00:00+00:00,4733602,4874169
2021-08-18 00:00:00+00:00,4745558,4877323
2021-08-19 00:00:00+00:00,4758003,4880516
2021-08-20 00:00:00+00:00,4770453,4883932
2021-08-21 00:00:00+00:00,4770453,4886897
2021-08-22 00:00:00+00:00,4770453,4889537
2021-08-23 00:00:00+00:00,4794352,4892235
2021-08-24 00:00:00+00:00,4804424,4894702
2021-08-25 00:00:00+00:00,4815205,4897150
2021-08-26 00:00:00+00:00,4822320,4899085
